,team,home_tol,home_win,home_lose,away_tol,away_win,away_lose,pyhta_rate_tol,pyhta_rate_home,pyhta_rate_away,diff_tol,diff_home,diff_away,win_type,win_rate,pyhta_rate,diff_rate
112,Tulane,25,12,13,30,7,23,0.370602607,0.512770268,0.269119468,-0.025148061,-0.032770268,-0.035786134,wrate_tol,0.345454545,0.370602607,-0.025148061
113,Tulane,25,12,13,30,7,23,0.370602607,0.512770268,0.269119468,-0.025148061,-0.032770268,-0.035786134,wrate_home,0.48,0.512770268,-0.032770268
114,Tulane,25,12,13,30,7,23,0.370602607,0.512770268,0.269119468,-0.025148061,-0.032770268,-0.035786134,wrate_away,0.233333333,0.269119468,-0.035786134
115,Connecticut,27,6,21,28,4,24,0.206109388,0.245752634,0.17245502,-0.024291206,-0.023530412,-0.029597878,wrate_tol,0.181818182,0.206109388,-0.024291206
116,Connecticut,27,6,21,28,4,24,0.206109388,0.245752634,0.17245502,-0.024291206,-0.023530412,-0.029597878,wrate_home,0.222222222,0.245752634,-0.023530412
117,Connecticut,27,6,21,28,4,24,0.206109388,0.245752634,0.17245502,-0.024291206,-0.023530412,-0.029597878,wrate_away,0.142857143,0.17245502,-0.029597878
118,Buffalo,26,14,12,30,12,18,0.48817511,0.582706734,0.387916395,-0.023889396,-0.044245195,0.012083605,wrate_tol,0.464285714,0.48817511,-0.023889396
119,Buffalo,26,14,12,30,12,18,0.48817511,0.582706734,0.387916395,-0.023889396,-0.044245195,0.012083605,wrate_home,0.538461538,0.582706734,-0.044245195
120,Buffalo,26,14,12,30,12,18,0.48817511,0.582706734,0.387916395,-0.023889396,-0.044245195,0.012083605,wrate_away,0.4,0.387916395,0.012083605
121,Colorado State,27,12,15,28,12,16,0.459991387,0.488437334,0.43187576,-0.023627751,-0.04399289,-0.003304331,wrate_tol,0.436363636,0.459991387,-0.023627751
122,Colorado State,27,12,15,28,12,16,0.459991387,0.488437334,0.43187576,-0.023627751,-0.04399289,-0.003304331,wrate_home,0.444444444,0.488437334,-0.04399289
123,Colorado State,27,12,15,28,12,16,0.459991387,0.488437334,0.43187576,-0.023627751,-0.04399289,-0.003304331,wrate_away,0.428571429,0.43187576,-0.003304331
124,Virginia Tech,29,17,12,27,16,11,0.611379735,0.639329473,0.579326375,-0.022094021,-0.053122576,0.013266218,wrate_tol,0.589285714,0.611379735,-0.022094021
125,Virginia Tech,29,17,12,27,16,11,0.611379735,0.639329473,0.579326375,-0.022094021,-0.053122576,0.013266218,wrate_home,0.586206897,0.639329473,-0.053122576
126,Virginia Tech,29,17,12,27,16,11,0.611379735,0.639329473,0.579326375,-0.022094021,-0.053122576,0.013266218,wrate_away,0.592592593,0.579326375,0.013266218
127,Syracuse,28,14,14,27,7,20,0.40363341,0.451526862,0.354745242,-0.021815228,0.048473138,-0.095485983,wrate_tol,0.381818182,0.40363341,-0.021815228
128,Syracuse,28,14,14,27,7,20,0.40363341,0.451526862,0.354745242,-0.021815228,0.048473138,-0.095485983,wrate_home,0.5,0.451526862,0.048473138
129,Syracuse,28,14,14,27,7,20,0.40363341,0.451526862,0.354745242,-0.021815228,0.048473138,-0.095485983,wrate_away,0.259259259,0.354745242,-0.095485983
130,Colorado,29,16,13,29,9,20,0.452823384,0.574455699,0.332151944,-0.021788901,-0.022731561,-0.021807116,wrate_tol,0.431034483,0.452823384,-0.021788901
131,Colorado,29,16,13,29,9,20,0.452823384,0.574455699,0.332151944,-0.021788901,-0.022731561,-0.021807116,wrate_home,0.551724138,0.574455699,-0.022731561
132,Colorado,29,16,13,29,9,20,0.452823384,0.574455699,0.332151944,-0.021788901,-0.022731561,-0.021807116,wrate_away,0.310344828,0.332151944,-0.021807116
133,Central Michigan,25,13,12,31,12,19,0.468099756,0.557127568,0.397404057,-0.021671184,-0.037127568,-0.010307282,wrate_tol,0.446428571,0.468099756,-0.021671184
134,Central Michigan,25,13,12,31,12,19,0.468099756,0.557127568,0.397404057,-0.021671184,-0.037127568,-0.010307282,wrate_home,0.52,0.557127568,-0.037127568
135,Central Michigan,25,13,12,31,12,19,0.468099756,0.557127568,0.397404057,-0.021671184,-0.037127568,-0.010307282,wrate_away,0.387096774,0.397404057,-0.010307282
136,Kent State,21,5,16,33,6,27,0.223726551,0.370253714,0.144130754,-0.020022848,-0.132158476,0.037687428,wrate_tol,0.203703704,0.223726551,-0.020022848
137,Kent State,21,5,16,33,6,27,0.223726551,0.370253714,0.144130754,-0.020022848,-0.132158476,0.037687428,wrate_home,0.238095238,0.370253714,-0.132158476
138,Kent State,21,5,16,33,6,27,0.223726551,0.370253714,0.144130754,-0.020022848,-0.132158476,0.037687428,wrate_away,0.181818182,0.144130754,0.037687428
139,Virginia,29,18,11,27,6,21,0.448195966,0.529617048,0.355427777,-0.019624538,0.091072607,-0.133205555,wrate_tol,0.428571429,0.448195966,-0.019624538
140,Virginia,29,18,11,27,6,21,0.448195966,0.529617048,0.355427777,-0.019624538,0.091072607,-0.133205555,wrate_home,0.620689655,0.529617048,0.091072607
141,Virginia,29,18,11,27,6,21,0.448195966,0.529617048,0.355427777,-0.019624538,0.091072607,-0.133205555,wrate_away,0.222222222,0.355427777,-0.133205555
142,South Alabama,25,10,15,29,4,25,0.278357661,0.357658314,0.215991863,-0.019098402,0.042341686,-0.078060829,wrate_tol,0.259259259,0.278357661,-0.019098402
143,South Alabama,25,10,15,29,4,25,0.278357661,0.357658314,0.215991863,-0.019098402,0.042341686,-0.078060829,wrate_home,0.4,0.357658314,0.042341686
144,South Alabama,25,10,15,29,4,25,0.278357661,0.357658314,0.215991863,-0.019098402,0.042341686,-0.078060829,wrate_away,0.137931034,0.215991863,-0.078060829
145,Wisconsin,37,30,7,26,18,8,0.779747481,0.844104929,0.670794498,-0.017842719,-0.033294119,0.021513195,wrate_tol,0.761904762,0.779747481,-0.017842719
146,Wisconsin,37,30,7,26,18,8,0.779747481,0.844104929,0.670794498,-0.017842719,-0.033294119,0.021513195,wrate_home,0.810810811,0.844104929,-0.033294119
147,Wisconsin,37,30,7,26,18,8,0.779747481,0.844104929,0.670794498,-0.017842719,-0.033294119,0.021513195,wrate_away,0.692307692,0.670794498,0.021513195
148,Louisiana Monroe,22,10,12,35,7,28,0.315734171,0.426920051,0.240415839,-0.017488557,0.027625403,-0.040415839,wrate_tol,0.298245614,0.315734171,-0.017488557
149,Louisiana Monroe,22,10,12,35,7,28,0.315734171,0.426920051,0.240415839,-0.017488557,0.027625403,-0.040415839,wrate_home,0.454545455,0.426920051,0.027625403
150,Louisiana Monroe,22,10,12,35,7,28,0.315734171,0.426920051,0.240415839,-0.017488557,0.027625403,-0.040415839,wrate_away,0.2,0.240415839,-0.040415839
151,BYU,25,15,10,31,14,17,0.534962571,0.588125592,0.487032898,-0.017105428,0.011874408,-0.035419995,wrate_tol,0.517857143,0.534962571,-0.017105428
152,BYU,25,15,10,31,14,17,0.534962571,0.588125592,0.487032898,-0.017105428,0.011874408,-0.035419995,wrate_home,0.6,0.588125592,0.011874408
153,BYU,25,15,10,31,14,17,0.534962571,0.588125592,0.487032898,-0.017105428,0.011874408,-0.035419995,wrate_away,0.451612903,0.487032898,-0.035419995
154,Kansas State,29,18,11,26,11,15,0.543998023,0.583372187,0.499296271,-0.016725296,0.037317468,-0.076219348,wrate_tol,0.527272727,0.543998023,-0.016725296
155,Kansas State,29,18,11,26,11,15,0.543998023,0.583372187,0.499296271,-0.016725296,0.037317468,-0.076219348,wrate_home,0.620689655,0.583372187,0.037317468
156,Kansas State,29,18,11,26,11,15,0.543998023,0.583372187,0.499296271,-0.016725296,0.037317468,-0.076219348,wrate_away,0.423076923,0.499296271,-0.076219348
157,Indiana,30,14,16,27,13,14,0.489493805,0.510862069,0.465905717,-0.015809594,-0.044195402,0.015575765,wrate_tol,0.473684211,0.489493805,-0.015809594
158,Indiana,30,14,16,27,13,14,0.489493805,0.510862069,0.465905717,-0.015809594,-0.044195402,0.015575765,wrate_home,0.466666667,0.510862069,-0.044195402
159,Indiana,30,14,16,27,13,14,0.489493805,0.510862069,0.465905717,-0.015809594,-0.044195402,0.015575765,wrate_away,0.481481481,0.465905717,0.015575765
160,NC State,28,17,11,27,12,15,0.541224712,0.600397526,0.479189678,-0.013951985,0.006745331,-0.034745234,wrate_tol,0.527272727,0.541224712,-0.013951985
161,NC State,28,17,11,27,12,15,0.541224712,0.600397526,0.479189678,-0.013951985,0.006745331,-0.034745234,wrate_home,0.607142857,0.600397526,0.006745331
